,msa,state,FIPS,GTCBSA,sex,q7_family_members,NO family,Family Available,age,Education,income_short,recage,racethn,weight
1152,37980,Pennsylvania,42045,37980,Female,More than 20,0,1,33,lt_highschool,50-75k,25-34,White~H,5.5
1154,39740,Pennsylvania,42011,39740,Male,1 up to 5,0,1,51,highschool,50-75k,45-54,White~H,3.404761905
1167,33460,Minnesota,27003,33460,Female,6 up to 10,0,1,51,some_college,50-75k,45-54,White~H,1.150943396
1171,18140,Ohio,39049,18140,Female,6 up to 10,0,1,61,some_college,50-75k,55-64,White~H,1.428571429
1172,18140,Ohio,39049,18140,Male,More than 20,0,1,47,highschool,50-75k,45-54,White~H,4.547169811
1175,18140,Ohio,39049,18140,Female,1 up to 5,0,1,55,college_degree,50-75k,55-64,White~H,1
1178,18140,Ohio,39049,18140,Male,6 up to 10,0,1,67,some_college,50-75k,65+,White~H,1.928571429
1181,34980,Tennessee,47037,34980,Male,1 up to 5,0,1,31,post_college_degree,50-75k,25-34,Other,2.270833333
1186,34980,Tennessee,47187,34980,Male,1 up to 5,0,1,74,post_college_degree,50-75k,65+,White~H,1
1187,34980,Tennessee,47037,34980,Female,6 up to 10,0,1,60,college_degree,50-75k,55-64,Black~H,1.5
1188,34980,Tennessee,47149,34980,Female,None,1,0,37,college_degree,50-75k,35-44,White~H,1.833333333
1194,24340,Michigan,26081,24340,Male,11 up to 20,0,1,48,highschool,50-75k,45-54,White~H,2.80952381
1217,0,Illinois,17199,16060,Female,1 up to 5,0,1,55,college_degree,50-75k,55-64,White~H,1
1221,41740,California,06073,41740,Male,None,1,0,54,college_degree,50-75k,45-54,White~H,2.69047619
1222,41740,California,06073,41740,Male,11 up to 20,0,1,56,some_college,50-75k,55-64,White~H,3.761904762
1230,0,Kansas,20055,23780,Male,1 up to 5,0,1,60,some_college,50-75k,55-64,White~H,1.229166667
1232,0,Kansas,20037,38260,Male,11 up to 20,0,1,57,post_college_degree,50-75k,55-64,White~H,1
1245,31100,California,06037,31080,Female,6 up to 10,0,1,62,some_college,50-75k,55-64,White~H,1.357142857
1251,31100,California,06037,31080,Female,1 up to 5,0,1,78,college_degree,50-75k,65+,White~H,1.520833333
1256,16980,Illinois,17089,16980,Male,11 up to 20,0,1,37,lt_highschool,50-75k,35-44,Hispanic,6.071428571
1257,16980,Illinois,17043,16980,Female,1 up to 5,0,1,20,some_college,50-75k,18-24,White~H,3.056603774
1270,35620,New York,36103,35620,Male,6 up to 10,0,1,73,college_degree,50-75k,65+,White~H,1.150943396
1281,41180,Illinois,17031,16980,Male,6 up to 10,0,1,24,post_college_degree,50-75k,18-24,White~H,1.523809524
1284,19780,Iowa,19049,19780,Male,More than 20,0,1,41,highschool,50-75k,35-44,White~H,3.354166667
1299,41860,California,06081,41860,Male,1 up to 5,0,1,78,highschool,50-75k,65+,White~H,3.604166667
1304,33460,South Dakota,46025,,Female,More than 20,0,1,19,highschool,50-75k,18-24,White~H,1.729166667
1309,0,Missouri,29005,,Male,None,1,0,59,college_degree,50-75k,55-64,White~H,1.150943396
1311,31100,California,06037,31080,Male,None,1,0,49,trade_school_hs,50-75k,45-54,Black~H,2.69047619
1312,12540,California,06029,12540,Male,More than 20,0,1,34,trade_school_hs,50-75k,25-34,White~H,4.698113208
1316,12540,California,06029,12540,Female,1 up to 5,0,1,24,highschool,50-75k,18-24,Black~H,2.354166667
1319,0,Mississippi,28151,24740,Male,1 up to 5,0,1,44,some_college,50-75k,35-44,Black~H,1.9375
1337,24220,North Dakota,38035,24220,Female,11 up to 20,0,1,54,some_college,50-75k,45-54,White~H,1.301886792
1339,0,North Dakota,38105,48780,Male,More than 20,0,1,33,post_college_degree,50-75k,25-34,White~H,1.625
1355,47900,Virginia,51059,47900,Male,1 up to 5,0,1,61,trade_school_hs,50-75k,55-64,White~H,4.666666667
1367,47900,Virginia,51059,47900,Male,1 up to 5,0,1,36,highschool,50-75k,35-44,Black~H,4.716981132
1368,47900,Virginia,51510,47900,Male,More than 20,0,1,70,highschool,50-75k,65+,Black~H,4.377358491
1382,16740,North Carolina,37025,16740,Male,None,1,0,43,college_degree,50-75k,35-44,White~H,2.785714286
1383,16740,North Carolina,37159,16740,Female,1 up to 5,0,1,48,some_college,50-75k,45-54,White~H,1.880952381
1389,12260,Georgia,13245,12260,Female,None,1,0,33,post_college_degree,50-75k,25-34,White~H,2.075471698
1393,17980,Georgia,13145,17980,Male,More than 20,0,1,23,highschool,50-75k,18-24,White~H,1.952380952
1403,46700,California,06095,46700,Male,1 up to 5,0,1,85,college_degree,50-75k,65+,White~H,1.645833333
1404,46700,California,06095,46700,Female,None,1,0,43,post_college_degree,50-75k,35-44,White~H,2.625
1406,0,California,06023,21700,Female,1 up to 5,0,1,28,post_college_degree,50-75k,25-34,White~H,2.666666667
1430,26420,Texas,48201,26420,Female,1 up to 5,0,1,65,post_college_degree,50-75k,65+,White~H,1.261904762
1434,31100,California,06059,31080,Female,None,1,0,50,some_college,50-75k,45-54,White~H,4.619047619
1438,31100,California,06059,31080,Female,More than 20,0,1,54,some_college,50-75k,45-54,Hispanic,2.261904762
1442,31100,California,06059,31080,Male,1 up to 5,0,1,29,college_degree,50-75k,25-34,Hispanic,1.952380952
1445,33460,Wisconsin,55093,33460,Male,6 up to 10,0,1,52,post_college_degree,50-75k,45-54,White~H,1.30952381
1451,48140,Wisconsin,55073,48140,Female,6 up to 10,0,1,46,college_degree,50-75k,45-54,White~H,2.023809524
1452,0,Wisconsin,55079,33340,Male,11 up to 20,0,1,18,some_college,50-75k,18-24,White~H,3.880952381
1455,15380,New York,36009,36460,Female,More than 20,0,1,38,some_college,50-75k,35-44,White~H,3.142857143
1463,15380,New York,36029,15380,Female,1 up to 5,0,1,49,some_college,50-75k,45-54,White~H,2.452380952
1473,25420,Pennsylvania,42041,25420,Female,None,1,0,41,college_degree,50-75k,35-44,White~H,2.245283019
1484,35620,North Carolina,37081,24660,Male,1 up to 5,0,1,47,college_degree,50-75k,45-54,Black~H,1.6875
1489,35620,New York,36047,35620,Female,None,1,0,55,post_college_degree,50-75k,55-64,Other,3.166666667
