GTCBSA,NAME,ALAND,SQRT_ALAND,POP,LOG_POP,POP_DEN,L_POPDEN,POP15,L_POP15DEN,LOG_POP15,POP15_DEN,TUFINLWGT,AVG_FAMILY_TIME,AVG_FAMILY_IX,AVG_HHFAMILY_TIME,AVG_HHFAMILY_IX,AVG_NHFAMILY_TIME,AVG_NHFAMILY_IX,AVG_FRIEND_TIME,AVG_FRIEND_IX,AVG_CCC_TIME,AVG_CCC_IX,AVG_NHSOCIAL_TIME,AVG_NHFAMILY_SOCIAL_TIME_RATIO,AVG_TRIP_TO_NHFAMILY_DUR,RESP_COUNT
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",3530.3744337147,59.416954093210634,1761729,6.25,499.02,2.698117951867031,1436659,2.609530380749014,6.16,406.94,2256235949.461038,262.46,0.82,206.84,0.7,80.29,0.36,32.39,0.12,178.12,0.41,290.8,0.25,5.49,204
47300,"Visalia, CA",4823.8719541155,69.45409962065234,461898,5.66,95.75,1.98113878264066,342228,1.850891184135924,5.53,70.94,663647957.674276,312.0,0.88,255.64,0.77,67.29,0.31,65.94,0.25,126.15,0.25,259.39,0.24,10.35,57
47380,"Waco, TX",1802.140124499,42.45162098788455,268361,5.43,148.91,2.172923863628545,213687,2.073974819866658,5.33,118.57,266302831.683547,325.79,0.9,274.2,0.78,88.88,0.6,13.5,0.22,239.98,0.57,342.36,0.38,11.37,25
47580,"Warner Robins, GA",526.3272350622,22.94182283651846,180652,5.26,343.23,2.535585240321913,143043,2.434217494305148,5.16,271.78,173860254.380656,396.06,0.97,309.21,0.82,129.22,0.58,35.38,0.22,116.79,0.27,281.39,0.34,14.02,23
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6567.6491809929,81.0410339333902,6196585,6.79,943.5,2.97474190450095,5003364,2.881852369973158,6.7,761.82,8364512953.992022,297.65,0.82,245.32,0.72,75.5,0.36,49.4,0.23,180.92,0.41,305.83,0.23,6.29,824
47940,"Waterloo-Cedar Falls, IA",1503.082852128,38.769612483593384,169556,5.23,112.81,2.052347599224664,138464,1.964353929292193,5.14,92.12,484882336.596077,306.23,0.87,257.42,0.8,78.82,0.37,40.02,0.19,249.14,0.49,367.98,0.23,4.95,57
48060,"Watertown-Fort Drum, NY",1268.6972031162,35.61877599126898,112842,5.05,88.94,1.949097125112916,89439,1.848189116991399,4.95,70.5,445375287.230832,278.35,0.77,234.72,0.69,64.71,0.31,59.59,0.14,207.12,0.55,331.42,0.17,4.61,38
48140,"Wausau-Weston, WI",2423.8849490856,49.23296608051967,163140,5.21,67.31,1.828079590556746,133422,1.740678425227455,5.13,55.04,177923520.815667,250.35,0.73,243.4,0.71,22.48,0.14,37.57,0.21,198.35,0.39,258.41,0.13,0.99,20
48620,"Wichita, KS",4148.0427538836,64.40530066604457,637690,5.8,153.73,2.186758627181614,501171,2.082138831393447,5.7,120.82,860206666.051182,341.97,0.86,302.7,0.73,93.22,0.47,24.9,0.16,138.16,0.4,256.28,0.3,5.17,97
48660,"Wichita Falls, TX",2619.626720139,51.18228912562431,150715,5.18,57.53,1.759894374025499,122538,1.670060217473134,5.09,46.78,276258016.248447,316.5,0.77,255.06,0.65,61.83,0.3,69.66,0.16,197.66,0.46,329.15,0.14,1.76,29
48700,"Williamsport, PA",1228.9125849858,35.0558495116835,114330,5.06,93.03,1.968623020956989,94860,1.887561040930009,4.98,77.19,279643063.699061,340.98,0.89,313.78,0.86,32.34,0.19,35.22,0.25,270.49,0.53,338.05,0.12,1.69,26
49020,"Winchester, VA-WV",1062.7236048429,32.599441787289855,137621,5.14,129.5,2.112269768417271,112263,2.023828392534886,5.05,105.64,336322418.688705,357.26,0.89,330.93,0.83,61.89,0.39,47.91,0.41,89.85,0.33,199.65,0.23,2.97,37
49180,"Winston-Salem, NC",2009.0036284461,44.8219101383029,666216,5.82,331.62,2.520640714965419,543638,2.432327792261604,5.74,270.6,701717148.979776,326.56,0.82,270.21,0.72,98.7,0.42,48.13,0.23,67.35,0.2,214.19,0.34,3.88,84
49340,"Worcester, MA-CT",2023.5907211949,44.984338621290185,941338,5.97,465.18,2.667621034353151,779325,2.585596072930955,5.89,385.12,1173001027.700756,303.54,0.86,216.53,0.7,115.21,0.47,37.56,0.18,193.38,0.43,346.15,0.29,8.24,134
49620,"York-Hanover, PA",904.3604747892,30.072586765843738,445565,5.65,492.69,2.692573747602913,364186,2.604981629607432,5.56,402.7,715540521.757544,365.45,0.95,239.37,0.73,153.14,0.52,19.77,0.15,157.99,0.44,330.91,0.41,11.1,56
49660,"Youngstown-Warren-Boardman, OH-PA",1702.0994071653,41.256507452343804,541846,5.73,318.34,2.502891211941244,453138,2.425240679100198,5.66,266.22,677770802.242129,338.68,0.84,273.65,0.72,98.52,0.45,22.81,0.12,101.95,0.26,223.27,0.32,5.52,75
49740,"Yuma, AZ",5513.8071460329,74.2550142820867,209468,5.32,37.99,1.57966929355472,164945,1.475816413031318,5.22,29.91,334083850.249534,470.22,0.83,395.55,0.76,129.68,0.45,37.54,0.24,90.2,0.2,257.42,0.38,7.94,37
